index,time_skew,time_kurt,time_form,time_peak,time_impulse,time_clearance,temp,materials,freq,max_al,core_loss
0,-0.000627713,-1.499369645,1.111679547,1.413444484,1.571297323,1.719915892,25,1,50030,0.028848625,1997.95525
1,-0.001224164,-1.499348156,1.111672821,1.413101975,1.570907059,1.719465864,25,1,50020,0.031419176,2427.74983
2,-0.000494964,-1.497841363,1.112044814,1.41465979,1.573165083,1.722415123,25,1,50020,0.035534728,3332.72576
3,-0.001533045,-1.496348787,1.112258928,1.415145338,1.574008037,1.723545939,25,1,50020,0.040015423,4502.908007
4,-0.002511576,-1.496577126,1.112156905,1.414724116,1.573395195,1.722683174,25,1,50030,0.04502763,6063.023248
5,-0.003593841,-1.499083777,1.111691173,1.41212791,1.569850133,1.718291302,25,1,50020,0.063309253,14273.85421
6,-0.006874965,-1.50154045,1.111219265,1.407516647,1.564059614,1.711298014,25,1,50020,0.111447239,56401.52952
7,-0.007502387,-1.503008647,1.110897282,1.406814825,1.562826765,1.709475994,25,1,50020,0.124866864,73651.31728
8,-0.009515164,-1.504848978,1.110548642,1.404676542,1.559961626,1.705970152,25,1,50020,0.1566562,125047.8122
9,-0.010760917,-1.504860728,1.110616659,1.403984074,1.559288102,1.705465491,25,1,50020,0.174814636,161776.6059
10,-0.014803463,-1.512933695,1.109004256,1.395275301,1.547366247,1.690295901,25,1,50020,0.244365162,352985.6272
11,-0.016942155,-1.515165853,1.108663819,1.392061341,1.543328042,1.685502889,25,1,50030,0.268992445,441717.9624
12,-0.001735656,-1.49989771,1.111590074,1.412054194,1.569625427,1.717995897,25,1,56320,0.024828539,1759.006565
13,-0.00262709,-1.499749139,1.111566629,1.411842621,1.569357143,1.717613919,25,1,56310,0.027812696,2364.873224
14,-0.002895417,-1.498711818,1.111846361,1.412372723,1.570341473,1.719067546,25,1,56320,0.031156813,3132.233226
15,-0.003197984,-1.496334129,1.112247565,1.413912977,1.572621265,1.721999693,25,1,56320,0.035420698,4363.429973
16,-0.003811413,-1.496347018,1.112185092,1.413544224,1.572122813,1.72135511,25,1,56320,0.0397187,5773.018252
17,-0.005080109,-1.498614037,1.111834671,1.410562031,1.568311773,1.716776644,25,1,56320,0.04929146,9988.187279
18,-0.005505133,-1.498836587,1.111752697,1.410502784,1.568130274,1.716424399,25,1,56310,0.055898567,13463.78092
19,-0.006418977,-1.49669285,1.112142814,1.411510932,1.56980174,1.718845456,25,1,56310,0.070737564,23248.3141
20,-0.007596802,-1.500811624,1.111436796,1.406435346,1.563163995,1.710591758,25,1,56320,0.087617849,39002.19859
21,-0.008564866,-1.501618191,1.111195852,1.405882966,1.56221132,1.709212614,25,1,56320,0.097540819,50069.23431
22,-0.009440632,-1.503189144,1.110855527,1.404977985,1.56072756,1.707207534,25,1,56320,0.110358798,66762.87637
23,-0.011167616,-1.505792261,1.110366268,1.402453234,1.557236764,1.702733302,25,1,56310,0.137948422,113796.1134
24,-0.0124309,-1.506245091,1.110335002,1.4012432,1.55584937,1.701256087,25,1,56310,0.154213975,148257.1129
25,-0.013495836,-1.507252305,1.110069593,1.399911677,1.553999385,1.698757551,25,1,56320,0.17350443,198685.0545
26,-0.014704003,-1.509682953,1.109544502,1.397939492,1.551076078,1.69489854,25,1,56320,0.192730315,255933.2678
27,-0.01626446,-1.515182264,1.108519332,1.392171491,1.543249012,1.685121455,25,1,56320,0.214929047,331623.2171
28,-0.017350654,-1.517970169,1.108025919,1.389481318,1.539581314,1.68058844,25,1,56320,0.236343413,416358.3168
29,-0.019250403,-1.521365402,1.107356648,1.386294881,1.535122853,1.674952357,25,1,56310,0.263947758,534557.2986
30,-0.003965575,-1.501275158,1.111361268,1.408816121,1.56570367,1.713387452,25,1,63010,0.022059316,1507.127686
31,-0.004099945,-1.500502838,1.111487306,1.409573948,1.56672355,1.714628634,25,1,63020,0.024725928,1987.49952
32,-0.004287808,-1.49943639,1.111753458,1.410164706,1.567755488,1.716246296,25,1,63020,0.027911211,2690.828365
33,-0.004047021,-1.497425894,1.112028657,1.412266477,1.570480794,1.719405444,25,1,63020,0.035428021,4918.264521
34,-0.006014109,-1.500059087,1.11153836,1.408365488,1.565452264,1.713428756,25,1,63020,0.039388525,6538.643558
35,-0.006943308,-1.499139773,1.11171576,1.408791119,1.566175289,1.714291446,25,1,63020,0.049814376,11504.91656
36,-0.007042744,-1.498046216,1.111990209,1.409441335,1.567284965,1.715993233,25,1,63020,0.055885843,14827.08294
37,-0.006732353,-1.49656154,1.112213832,1.410652399,1.56894711,1.717916373,25,1,63020,0.062965686,19682.18168
38,-0.007850007,-1.496864491,1.112107604,1.410128855,1.568215022,1.717013241,25,1,63020,0.07076822,26015.31362
39,-0.008302597,-1.499416473,1.111746009,1.406056757,1.563177989,1.71108287,25,1,63020,0.078459062,33431.1089
40,-0.009639728,-1.499836654,1.111568537,1.405635651,1.562460363,1.709990165,25,1,63020,0.087840747,43311.21706
41,-0.010027238,-1.501066021,1.111295557,1.405275095,1.561675969,1.708805654,25,1,63020,0.098822527,56888.04649
42,-0.01056136,-1.501011419,1.11134087,1.4049588,1.561388135,1.708599458,25,1,63020,0.110218222,73132.61212
43,-0.011781957,-1.502036927,1.111110021,1.403942527,1.55993461,1.706637667,25,1,63020,0.124335952,96561.45489
44,-0.012913076,-1.501737483,1.111226741,1.403255893,1.559335473,1.706183332,25,1,63020,0.13898708,124836.8907
45,-0.013648231,-1.501447253,1.111209622,1.403192779,1.559241317,1.706123244,25,1,63020,0.156473638,164156.6808
46,-0.014659393,-1.502738486,1.11090369,1.402089048,1.557585898,1.70388689,25,1,63020,0.175147308,213181.9924
47,-0.015934515,-1.506987509,1.110115914,1.397539681,1.55143104,1.69615182,25,1,63020,0.194790244,272698.8683
48,-0.017066515,-1.508175642,1.109925012,1.395995942,1.549450813,1.693733289,25,1,63020,0.215860491,345321.4402
49,-0.018080846,-1.510570964,1.109438686,1.394006998,1.546565293,1.689907261,25,1,63030,0.242998028,450682.3276
50,-0.019700936,-1.512473392,1.109157612,1.391470586,1.543360192,1.686265415,25,1,63030,0.268987649,568872.0099
51,-0.002903007,-1.499782714,1.111642712,1.411474627,1.569055482,1.717395694,25,1,70840,0.024687579,2225.097322
52,-0.00277803,-1.497659777,1.112023069,1.41291508,1.571194163,1.720194746,25,1,70840,0.027983078,3024.184603
53,-0.003630979,-1.49771978,1.111969435,1.412818181,1.571010635,1.719995863,25,1,70840,0.031475888,4089.657062
54,-0.003115705,-1.500239153,1.111494803,1.410633384,1.567911675,1.716002896,25,1,70840,0.035052595,5561.224672
55,-0.004597327,-1.499434816,1.11170866,1.410344545,1.567892244,1.71629051,25,1,70840,0.039364992,7428.611375
56,-0.005053448,-1.499219406,1.111717423,1.410438633,1.568009202,1.716301832,25,1,70840,0.044128618,9781.334899
57,-0.005057605,-1.498350034,1.11193141,1.410984179,1.568917627,1.717779946,25,1,70830,0.049743977,13030.14014
58,-0.005786834,-1.496697303,1.112187837,1.4115995,1.569963794,1.718967375,25,1,70840,0.056075099,17428.60715
59,-0.00682287,-1.499336807,1.111664671,1.408605249,1.565896691,1.713870806,25,1,70840,0.078502965,38034.45168
60,-0.008485542,-1.500071482,1.111533711,1.407503737,1.564487853,1.712293014,25,1,70840,0.098838885,64866.78904
61,-0.008991352,-1.500869446,1.11133756,1.406959238,1.563606647,1.710955463,25,1,70840,0.111064775,84929.72944
62,-0.009984101,-1.500356642,1.111511141,1.406645617,1.563502274,1.711175505,25,1,70840,0.124094997,109923.077
63,-0.010835164,-1.499667041,1.111565987,1.406661919,1.563597544,1.711214413,25,1,70840,0.139763871,144795.5963
64,-0.015461803,-1.506348212,1.110240788,1.399018078,1.553246932,1.69829574,25,1,70840,0.216688124,398991.6659
65,-0.01894246,-1.50848274,1.109885682,1.395124833,1.548429076,1.692514553,25,1,70840,0.273112449,677349.1971
66,-0.00269583,-1.501559953,1.111304976,1.410075525,1.567023949,1.714746587,25,1,79470,0.019528307,1351.668508
67,-0.002673637,-1.498245328,1.111931037,1.412634723,1.570752393,1.719561452,25,1,79460,0.024900745,2547.825849
68,-0.002711439,-1.498335563,1.111838418,1.413028656,1.571059545,1.719795746,25,1,79460,0.028096496,3427.227242
69,-0.003117417,-1.500875458,1.111372059,1.410230867,1.567291182,1.715054729,25,1,79470,0.031205008,4655.897506
70,-0.00359112,-1.500162693,1.111572421,1.410231516,1.567574461,1.715762523,25,1,79460,0.034994642,6205.058112
71,-0.003644215,-1.500146589,1.111540266,1.410717272,1.568069052,1.716136613,25,1,79460,0.039476588,8367.055189
72,-0.00448831,-1.499041319,1.111795838,1.410905962,1.568639376,1.717140081,25,1,79470,0.044323776,11089.48772
73,-0.004832096,-1.496972293,1.112148386,1.412140194,1.570509438,1.719546993,25,1,79470,0.049693959,14658.56285
74,-0.00530424,-1.497251199,1.112061556,1.41194446,1.570169154,1.719192151,25,1,79470,0.056103456,19233.50271
75,-0.006811058,-1.499456084,1.111654397,1.408464363,1.565725603,1.713831234,25,1,79460,0.069754037,32688.69228
76,-0.00782974,-1.499915176,1.111588264,1.407797707,1.564891409,1.712713416,25,1,79460,0.087732676,55945.83678
77,-0.008697389,-1.500397767,1.111457229,1.40728095,1.564132586,1.711738398,25,1,79460,0.099049001,74362.24612
78,-0.010463448,-1.499025996,1.111709144,1.407074174,1.564257225,1.712226429,25,1,79460,0.125062307,128576.4162
79,-0.011393234,-1.499663865,1.111531373,1.406550755,1.563425292,1.711054357,25,1,79460,0.139881879,166639.6736
80,-0.012227483,-1.50315547,1.110879122,1.40277822,1.558317038,1.704560805,25,1,79470,0.156669065,218449.8965
81,-0.013550414,-1.503163764,1.110911242,1.402239302,1.557763404,1.704243901,25,1,79460,0.172642027,273541.545
82,-0.014744995,-1.504300926,1.110653786,1.400885061,1.555898296,1.701659715,25,1,79460,0.194522206,360199.2721
83,-0.016416283,-1.504672314,1.110617687,1.399658188,1.55448514,1.700142488,25,1,79460,0.216796032,461810.5667
84,-0.017874014,-1.504868727,1.110549589,1.398304877,1.552886906,1.698278837,25,1,79460,0.24532644,613904.3362
85,-0.002471181,-1.502087838,1.111199036,1.410133355,1.566938825,1.714551533,25,1,89080,0.017465274,1129.391913
86,-0.003254566,-1.501623362,1.111343443,1.4098631,1.566842112,1.714651877,25,1,89080,0.019691659,1532.851361
87,-0.003589868,-1.499038823,1.111777533,1.411511192,1.56928643,1.717806115,25,1,89080,0.022148216,2119.668152
88,-0.004020712,-1.500507081,1.111507363,1.409917523,1.567133707,1.715177271,25,1,89090,0.031061485,5166.874084
89,-0.004517107,-1.500737861,1.111424939,1.409745575,1.56682639,1.71465159,25,1,89080,0.035040861,7061.093869
90,-0.005043989,-1.499998417,1.111629776,1.409892408,1.567278382,1.71554625,25,1,89080,0.039326997,9430.12443
91,-0.005206804,-1.49804191,1.111956108,1.411131113,1.569115861,1.717865064,25,1,89080,0.044447876,12766.46246
92,-0.006025926,-1.499874369,1.111693524,1.407819077,1.565063351,1.713056288,25,1,89090,0.055365141,21893.48022
93,-0.006694042,-1.499842617,1.111601312,1.407993479,1.565127399,1.712940359,25,1,89080,0.062112426,28291.14184
94,-0.007947542,-1.500048291,1.11156599,1.407726338,1.56478072,1.712540459,25,1,89090,0.078637194,49708.07326
95,-0.009029464,-1.500485118,1.111457364,1.406972375,1.563789808,1.711340936,25,1,89080,0.088198356,65196.27638
96,-0.009818986,-1.499798148,1.111646532,1.406941733,1.564021899,1.711913663,25,1,89080,0.098803918,85243.35886
97,-0.010555469,-1.498615237,1.111810207,1.407225695,1.564567892,1.712716408,25,1,89090,0.110936068,112150.6467
98,-0.011794741,-1.499286026,1.111621598,1.40637825,1.563360438,1.711002666,25,1,89080,0.124656679,147631.7533
99,-0.012939547,-1.502655828,1.111003759,1.402586065,1.558278391,1.70480897,25,1,89090,0.139410931,193355.8322
100,-0.013907199,-1.502588054,1.111033184,1.402177653,1.557865902,1.704422069,25,1,89080,0.154546103,245886.8962
101,-0.015013824,-1.503389652,1.110839831,1.401127556,1.556428297,1.7025557,25,1,89090,0.173458631,321281.5746
102,-0.016689573,-1.503417117,1.110896841,1.400072446,1.555336057,1.701441993,25,1,89090,0.193693439,415631.7819
103,-0.018043199,-1.502662058,1.110985411,1.399575684,1.554908166,1.700957709,25,1,89090,0.217606743,542772.7158
104,-0.020074591,-1.504494477,1.110574204,1.397370701,1.551883853,1.697204613,25,1,89080,0.244854323,711545.3171
105,-0.022332027,-1.509023826,1.109737036,1.39169918,1.544420123,1.687963526,25,1,89090,0.268636473,896343.4213
106,-0.001017361,-1.501819877,1.111303503,1.411203261,1.568275126,1.716119594,25,1,99950,0.017495601,1299.233133
107,-0.001166854,-1.499803719,1.111650551,1.412641333,1.570363516,1.718865522,25,1,99950,0.019720085,1755.831126
