index,time_skew,time_kurt,time_form,time_peak,time_impulse,time_clearance,temp,materials,freq,max_al,core_loss
0,-0.013873844,-1.493829479,1.112639175,1.409497381,1.568262004,1.717711173,25,4,50020,0.025757093,2525.795337
1,-0.014387645,-1.495921717,1.112290111,1.407265399,1.565287387,1.714072771,25,4,50020,0.031718896,4427.524958
2,-0.01543374,-1.49593922,1.112254753,1.40672798,1.564639882,1.713342738,25,4,50020,0.035309117,5780.576037
3,-0.016901106,-1.493749248,1.112646781,1.407459579,1.566005371,1.715183844,25,4,50020,0.045302833,10983.4126
4,-0.018100397,-1.494243946,1.112479117,1.406571776,1.564781728,1.713705908,25,4,50020,0.050618254,14526.68568
5,-0.019895256,-1.497550715,1.11196596,1.401531743,1.558455589,1.70607819,25,4,50020,0.055879856,18844.59334
6,-0.021972691,-1.498593946,1.111649697,1.399956515,1.556261236,1.703218602,25,4,50020,0.062989411,25277.2595
7,-0.024136058,-1.500293155,1.111272025,1.397954112,1.553507296,1.699716417,25,4,50020,0.070048273,32708.86696
8,-0.009580013,-1.492916951,1.112743661,1.412536015,1.571790497,1.721597668,25,4,56320,0.023309192,2358.08245
9,-0.0105562,-1.495786341,1.112260918,1.409097177,1.567283719,1.71614465,25,4,56320,0.024974029,2931.161116
10,-0.011866937,-1.494439677,1.112546564,1.40940254,1.568025954,1.717354471,25,4,56320,0.027824133,3834.543648
11,-0.012731321,-1.494480899,1.112498182,1.409091429,1.567611653,1.71679067,25,4,56320,0.031372785,5187.405328
12,-0.014302875,-1.493372778,1.112738512,1.408950405,1.567793377,1.717425879,25,4,56320,0.035502604,7049.891568
13,-0.016502521,-1.491912099,1.112900228,1.408833992,1.567891672,1.717550842,25,4,56320,0.044550637,12314.76721
14,-0.018543724,-1.494505026,1.112533897,1.404190587,1.562209625,1.710866875,25,4,56320,0.049604711,16283.28276
15,-0.020089323,-1.495338531,1.112248058,1.402784198,1.560244,1.708259591,25,4,56320,0.055546102,21517.79544
16,-0.021915515,-1.496710498,1.111932293,1.401316439,1.558169001,1.705655955,25,4,56320,0.062549151,28651.93991
17,-0.023820919,-1.497565597,1.111796509,1.39975153,1.556238864,1.703465502,25,4,56320,0.069568832,36954.31168
18,-0.027723333,-1.50017176,1.111259636,1.395767649,1.55106025,1.697030913,25,4,56320,0.086875916,62212.71414
19,-0.009655706,-1.497010976,1.112074108,1.407956411,1.56575187,1.714293024,25,4,63020,0.022177573,2368.167996
20,-0.011890116,-1.495566944,1.112382219,1.407677559,1.565875486,1.714783132,25,4,63020,0.024960518,3210.217952
21,-0.013026611,-1.494635949,1.11255826,1.408135815,1.566633132,1.715950204,25,4,63020,0.031609003,5905.607142
22,-0.015363247,-1.492192829,1.112982317,1.408143373,1.567238675,1.717068798,25,4,63020,0.03553998,7949.919573
23,-0.016136514,-1.492397727,1.112856409,1.408086239,1.566997796,1.71653677,25,4,63020,0.040044166,10694.99524
24,-0.02141111,-1.495992363,1.112143587,1.401242518,1.55838288,1.706241136,25,4,63020,0.056063457,24769.0296
25,-0.022789071,-1.496159954,1.112122931,1.400453374,1.557476312,1.705168033,25,4,63020,0.062454696,32242.54515
26,-0.026608356,-1.49779594,1.111792322,1.396982388,1.553154293,1.700233317,25,4,63020,0.078215043,55018.15883
27,-0.030498726,-1.5001158,1.111195885,1.393426339,1.548369615,1.693907145,25,4,63030,0.098431401,94000.05852
28,-0.009065005,-1.495238128,1.11237463,1.411117723,1.569691555,1.718886387,25,4,70840,0.01811794,1483.807827
29,-0.013023728,-1.492647194,1.112900908,1.409716362,1.568874619,1.71872164,25,4,70830,0.031619657,6680.186414
30,-0.015386533,-1.494600503,1.112581222,1.40556485,1.563805059,1.712821585,25,4,70840,0.039613355,11906.01335
31,-0.018276673,-1.495368779,1.112277143,1.404096918,1.561744908,1.710002788,25,4,70840,0.049791178,20951.22762
32,-0.023616806,-1.496066154,1.112164414,1.400757719,1.557872888,1.705719309,25,4,70840,0.069805005,47751.87072
33,-0.025533773,-1.495558764,1.112191851,1.399609078,1.556633811,1.704345675,25,4,70840,0.078760595,63801.52671
34,-0.030451419,-1.501678681,1.110936351,1.391831114,1.546235778,1.691347286,25,4,70840,0.097876271,106342.9168
35,-0.007842333,-1.498692624,1.111767096,1.408630325,1.566068846,1.714190438,25,4,79470,0.017921127,1666.618794
36,-0.007793947,-1.49748428,1.112031431,1.409521866,1.567432617,1.716024626,25,4,79460,0.019634094,2101.78054
37,-0.009325568,-1.496820559,1.112137948,1.409220437,1.567247525,1.715989362,25,4,79460,0.02229682,2963.224939
38,-0.011602966,-1.493477435,1.112772238,1.410159938,1.569186831,1.7188517,25,4,79460,0.028140327,5505.247899
39,-0.013000275,-1.493387936,1.112713426,1.409484131,1.568351916,1.71783922,25,4,79460,0.031597888,7493.457734
40,-0.016273408,-1.495052041,1.112425758,1.405027491,1.562988771,1.711656731,25,4,79460,0.039400543,13186.28828
41,-0.017550648,-1.495530741,1.112296101,1.404426341,1.562137944,1.710498392,25,4,79460,0.044163596,17535.64671
42,-0.019250065,-1.495051821,1.112402268,1.403721863,1.561503384,1.710055157,25,4,79460,0.049645935,23434.88172
43,-0.021239994,-1.495479045,1.112268736,1.402351882,1.559792156,1.707857566,25,4,79460,0.05576296,31306.49834
44,-0.025338463,-1.494479845,1.112447297,1.400238188,1.557691187,1.70591426,25,4,79460,0.07005862,54833.04468
45,-0.027809481,-1.495650357,1.112133544,1.398160727,1.554941445,1.702485002,25,4,79460,0.078551333,72324.76417
46,-0.030174817,-1.499853308,1.111319355,1.392797193,1.547842479,1.693637011,25,4,79460,0.087859751,95415.8528
47,-0.033202909,-1.500611534,1.111201066,1.390399661,1.545013585,1.690377606,25,4,79460,0.096328797,117359.0135
48,-0.036321378,-1.502778254,1.110727007,1.386954466,1.540527782,1.684879003,25,4,79460,0.108659019,156518.723
49,-0.00839833,-1.498764154,1.111811577,1.408311071,1.565776552,1.713958891,25,4,89080,0.017450806,1719.05603
50,-0.009734629,-1.498482532,1.111826736,1.407825714,1.565258269,1.713419548,25,4,89080,0.019688002,2402.430665
51,-0.012121563,-1.494803919,1.112520924,1.408826681,1.56734916,1.716520112,25,4,89080,0.025112759,4621.54849
52,-0.01378174,-1.494571518,1.11249942,1.408188166,1.566608519,1.715713296,25,4,89080,0.028107735,6259.548425
53,-0.015085108,-1.496179244,1.112346185,1.404500365,1.562290623,1.710856809,25,4,89090,0.031225869,8282.992066
54,-0.018351541,-1.496250516,1.112176061,1.403276022,1.560689998,1.708914291,25,4,89090,0.039365749,15020.31185
55,-0.026766383,-1.494215551,1.112511857,1.399338678,1.556780871,1.704862164,25,4,89090,0.062506294,47785.87916
56,-0.032428034,-1.499221747,1.111483598,1.39148761,1.546615656,1.692494593,25,4,89090,0.077688847,82036.11567
57,-0.007393553,-1.499615996,1.111635168,1.408184595,1.565387519,1.713276357,25,4,99950,0.015778834,1490.157037
58,-0.008201096,-1.49951169,1.111650946,1.408120643,1.565338645,1.713282826,25,4,99950,0.017415634,1917.512188
59,-0.009889291,-1.496319122,1.112285813,1.409229613,1.567466107,1.716439358,25,4,99950,0.022139984,3701.310433
60,-0.011424361,-1.497725291,1.112107931,1.405708857,1.563299969,1.711799623,25,4,99950,0.027588637,6772.530394
61,-0.012270978,-1.497437585,1.112037641,1.405991527,1.563515501,1.711705963,25,4,99950,0.031119052,9186.977414
62,-0.01334966,-1.497530178,1.111994547,1.405486289,1.562893089,1.711177673,25,4,99950,0.034706386,12166.09512
63,-0.01463025,-1.496841112,1.112147491,1.405552781,1.563181998,1.711550743,25,4,99950,0.039131796,16631.76528
64,-0.015280096,-1.496762379,1.112128587,1.405412749,1.562999695,1.711385621,25,4,99950,0.043725353,22011.65677
65,-0.016467213,-1.496070064,1.112305296,1.405117792,1.562919962,1.711517942,25,4,99950,0.049350699,29888.95976
66,-0.018082345,-1.497998517,1.111834681,1.402435888,1.559276858,1.706922011,25,4,99950,0.069503811,71060.34314
67,-0.018279767,-1.498311582,1.111801794,1.402331053,1.559114181,1.706652109,25,4,99950,0.07616875,88256.39193
68,-0.018087257,-1.499790444,1.111528873,1.401816058,1.558159023,1.705288717,25,4,99950,0.097007661,155558.4301
69,-0.01956794,-1.501548073,1.111097776,1.399687947,1.555190166,1.701569199,25,4,99950,0.120718671,261995.6204
70,-0.003104527,-1.50013097,1.111546523,1.410968351,1.568356964,1.716498251,25,4,112160,0.015645226,1581.900836
71,-0.00516216,-1.496682098,1.112149372,1.41221987,1.570599441,1.719684241,25,4,112160,0.022246508,4219.926955
72,-0.005551113,-1.498478683,1.111959425,1.408950515,1.566695805,1.715198533,25,4,112160,0.024720294,5622.090825
73,-0.00785991,-1.497255234,1.112101175,1.409526705,1.567536305,1.716398966,25,4,112160,0.034868609,13926.12489
